,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,BAF,Dial Up
0,2022,4,1000,6000,3000,573.0,222.0,11000,Oct-Dic 2022,11000,12000
1,2022,3,1000,6000,3000,557.0,235.0,11000,Jul-Sept 2022,11000,12000
2,2022,2,1000,6000,3000,556.0,232.0,11000,Abr-Jun 2022,11000,12000
3,2022,1,2000,6000,2000,546.0,252.0,11000,Ene-Mar 2022,11000,13000
4,2021,4,2000,6000,2000,523.0,253.0,10000,Oct-Dic 2021,10000,13000
5,2021,3,2000,6000,2000,492.0,250.0,10000,Jul-Sept 2021,10000,10000
6,2021,2,2000,6000,1000,477.0,254.0,10000,Abr-Jun 2021,10000,10000
7,2021,1,2000,5000,1000,435.0,250.0,10000,Ene-Mar 2021,10000,10000
8,2020,4,2000,5000,1000,422.0,253.0,10000,Oct-Dic 2020,10000,10000
9,2020,3,2000,5000,1000,413.0,249.0,9000,Jul-Sept 2020,9000,10000
10,2020,2,2000,5000,1000,377.0,247.0,9000,Abr-Jun 2020,9000,10000
11,2020,1,2000,5000,1000,352.0,209.0,9000,Ene-Mar 2020,9000,10000
12,2019,4,2000,5000,941,340.0,213.0,9000,Oct-Dic 2019,9000,10000
13,2019,3,3000,5000,852,338.0,264.0,9000,Jul-Sept 2019,9000,22000
14,2019,2,3000,5000,761,308.0,265.0,9000,Abr-Jun 2019,9000,22000
15,2019,1,3000,4000,637,276.0,166.0,9000,Ene-Mar 2019,9000,22000
16,2018,4,3000,4000,388,264.0,178.0,8000,Oct-Dic 2018,8000,22000
17,2018,3,4000,4000,247,246.0,94.0,8000,Jul-Sept 2018,8000,27000
18,2018,2,4000,4000,226,194.0,95.0,8000,Abr-Jun 2018,8000,27000
19,2018,1,4000,4000,217,165.0,99.0,8000,Ene-Mar 2018,8000,27000
20,2017,4,4000,4000,211,156.0,101.0,8000,Oct-Dic 2017,8000,27000
21,2017,3,4000,4000,194,106.0,132.0,8000,Jul-Sept 2017,8000,28000
22,2017,2,4000,3000,181,86.0,56.0,7000,Abr-Jun 2017,7000,29000
23,2017,1,4000,3000,180,85.0,56.0,7000,Ene-Mar 2017,7000,29000
24,2016,4,4000,3000,178,85.0,55.0,7000,Oct-Dic 2016,7000,29000
25,2016,3,4000,3000,170,81.0,54.0,7000,Jul-Sept 2016,7000,29000
26,2016,2,4000,3000,168,85.0,59.0,7000,Abr-Jun 2016,7000,32000
27,2016,1,4000,3000,164,85.0,59.0,7000,Ene-Mar 2016,7000,33000
28,2015,4,4000,3000,139,86.0,59.0,7000,Oct-Dic 2015,7000,33000
29,2015,3,4000,3000,163,85.0,59.0,7000,Jul-Sept 2015,7000,33000
30,2015,2,4000,3000,151,82.0,59.0,7000,Abr-Jun 2015,7000,33000
31,2015,1,4000,3000,168,79.0,66.0,7000,Ene-Mar 2015,7000,38000
32,2014,4,4000,3000,150,77.0,72.0,7000,Oct-Dic 2014,7000,39000
33,2014,3,4000,3000,155,85.0,70.0,7000,Jul-Sept 2014,7000,36000
34,2014,2,4000,2000,149,72.0,72.0,6000,Abr-Jun 2014,6000,36000
35,2014,1,4000,2000,150,71.0,73.0,6000,Ene-Mar 2014,6000,36000
