,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,BAF,Dial Up
0,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,5,6.0
1,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,2,2.0
2,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,71,1.0
3,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,144,5.0
4,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,168,904.0
5,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,1,68.0
6,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,155,4.0
7,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,271,22.0
8,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,62,0.0
9,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,118,0.0
10,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,114,171.0
11,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,86,4.0
12,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,291,777.0
13,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,186,0.0
14,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,160,468.0
15,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,162,548.0
16,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,206,5.0
17,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,104,281.0
18,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,135,192.0
19,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,50,198.0
20,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,888,110.0
21,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,119,2.0
22,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,55,312.0
23,2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0,263,30.0
24,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,5,6.0
25,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,2,2.0
26,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,71,1.0
27,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,144,5.0
28,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,168,904.0
29,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,1,68.0
30,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,155,4.0
31,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,271,22.0
32,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,62,0.0
33,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,118,0.0
34,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,114,171.0
35,2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0,86,4.0
