,Año,Trimestre,Provincia,Hasta 512 kbps,Entre 1 Mbps y 6 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Entre 512 Kbps y 1 Mbps,Entre 6 Mbps y 10 Mbps,Más de 30 Mbps,Otros
1,2017.0,4.0,Buenos Aires,3.865,0.0,831.394,339.916,55.04600000000001,343.56600000000003,141.942,114.182
2,2017.0,4.0,Capital Federal,314.0,1304.23,467.111,180.711,731.71,1229.094,134.19400000000002,0.0
3,2017.0,4.0,Catamarca,34.0,256.074,4.925,43.0,4.181,5.904,0.0,2.151
4,2017.0,4.0,Chaco,70.0,101.08,768.3739999999999,694.646,4.431,24.088,631.297,1.035
5,2017.0,4.0,Chubut,67.0,671.088,7.0,5.0,4.313,5.355,9.0,0.0
6,2017.0,4.0,Córdoba,291.0,280.837,219.6,41.045,25.411,235.759,21.186,8.429
7,2017.0,4.0,Corrientes,11.0,877.2429999999999,753.308,211.86,5.22,23.686,620.814,0.0
8,2017.0,4.0,Entre Ríos,1.685,1078.482,48.991,280.704,16.070999999999998,46.188,396.721,0.0
9,2017.0,4.0,Formosa,1.11,528.704,37.965,981.0,194.87,5.866,776.0,0.0
10,2017.0,4.0,Jujuy,345.0,39.553,18.492,44.0,5.364,43.685,0.0,0.0
11,2017.0,4.0,La Pampa,310.0,67.05199999999999,792.0,401.0,8.729,99.129,68.0,3.503
12,2017.0,4.0,La Rioja,9.0,42.775,5.813,24.0,2.487,4.083,1.0,0.0
13,2017.0,4.0,Mendoza,26.0,432.391,278.0,48.0,15.642,438.0,56.0,0.0
14,2017.0,4.0,Misiones,1.053,76.688,843.44,533.585,3.9,23.131,119.348,0.0
15,2017.0,4.0,Neuquén,1.396,821.282,163.64,249.327,2.372,1325.0,5.579,6.105
16,2017.0,4.0,Río Negro,409.0,1709.448,112.402,131.354,203.4,485.0,4.158,3.719
17,2017.0,4.0,Salta,636.0,252.105,207.779,362.229,136.143,32.842,45.0,0.0
18,2017.0,4.0,San Juan,22.0,85.497,0.0,4.0,32.031,9.0,0.0,0.0
19,2017.0,4.0,San Luis,59.0,18.816,0.0,8.0,101.0,8.0,0.0,1.902
20,2017.0,4.0,Santa Cruz,68.0,171.93000000000004,100.0,1.0,78.0,655.0,3.0,0.0
21,2017.0,4.0,Santa Fe,3.109,309.998,152.328,54.951,34.132,153.894,481.755,14.119
22,2017.0,4.0,Santiago Del Estero,41.0,59.528,30.332,34.0,911.182,18.773,0.0,0.0
23,2017.0,4.0,Tierra Del Fuego,6.0,36.329,0.0,0.0,310.0,2.0,0.0,0.0
24,2017.0,4.0,Tucumán,105.0,246.582,100.242,1.303,9.163,45.241,0.0,0.0
25,2018.0,1.0,Buenos Aires,1.514,0.0,1007.557,484.223,74.76599999999999,371.653,160.463,105.818
26,2018.0,1.0,Capital Federal,89.0,1428.429,929.384,228.969,26.023,340.619,144.577,0.0
27,2018.0,1.0,Catamarca,34.0,57.727,5.537,41.0,3.895,6.145,0.0,6.5
28,2018.0,1.0,Chaco,70.0,102.446,686.632,647.612,3.261,24.488,631.788,1.035
29,2018.0,1.0,Chubut,67.0,670.5730000000001,4.0,5.0,4.314,5.3580000000000005,9.0,5.01
30,2018.0,1.0,Córdoba,281.0,222.815,1246.278,57.148,23.922,238.166,24.354,10.049
31,2018.0,1.0,Corrientes,11.0,812.3760000000001,672.414,190.705,5.005,24.038,621.283,0.0
