,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
0,2022,4,Buenos Aires,5,6.0,5
1,2022,4,Capital Federal,2,2.0,2
2,2022,4,Catamarca,71,1.0,71
3,2022,4,Chaco,144,5.0,144
4,2022,4,Chubut,168,904.0,169
5,2022,4,Córdoba,1,68.0,1
6,2022,4,Corrientes,155,4.0,155
7,2022,4,Entre Ríos,271,22.0,271
8,2022,4,Formosa,62,0.0,62
9,2022,4,Jujuy,118,0.0,118
10,2022,4,La Pampa,114,171.0,114
11,2022,4,La Rioja,86,4.0,86
12,2022,4,Mendoza,291,777.0,292
13,2022,4,Misiones,186,0.0,186
14,2022,4,Neuquén,160,468.0,160
15,2022,4,Río Negro,162,548.0,162
16,2022,4,Salta,206,5.0,206
17,2022,4,San Juan,104,281.0,104
18,2022,4,San Luis,135,192.0,135
19,2022,4,Santa Cruz,50,198.0,50
20,2022,4,Santa Fe,888,110.0,888
21,2022,4,Santiago Del Estero,119,2.0,119
22,2022,4,Tierra Del Fuego,55,312.0,55
23,2022,4,Tucumán,263,30.0,263
24,2022,3,Buenos Aires,5,6.0,5
25,2022,3,Capital Federal,2,2.0,2
26,2022,3,Catamarca,70,1.0,70
27,2022,3,Chaco,144,5.0,144
28,2022,3,Chubut,165,904.0,166
29,2022,3,Córdoba,1,68.0,1
30,2022,3,Corrientes,145,4.0,145
31,2022,3,Entre Ríos,269,22.0,269
32,2022,3,Formosa,69,1.0,69
33,2022,3,Jujuy,119,0.0,119
34,2022,3,La Pampa,116,171.0,116
35,2022,3,La Rioja,87,4.0,87
36,2022,3,Mendoza,289,777.0,290
37,2022,3,Misiones,182,0.0,182
38,2022,3,Neuquén,163,468.0,163
39,2022,3,Río Negro,160,548.0,161
40,2022,3,Salta,205,5.0,205
41,2022,3,San Juan,103,281.0,103
42,2022,3,San Luis,122,182.0,122
43,2022,3,Santa Cruz,49,198.0,50
44,2022,3,Santa Fe,888,110.0,888
45,2022,3,Santiago Del Estero,119,2.0,119
46,2022,3,Tierra Del Fuego,54,312.0,54
47,2022,3,Tucumán,263,30.0,263
48,2022,2,Buenos Aires,5,6.0,5
49,2022,2,Capital Federal,2,2.0,2
50,2022,2,Catamarca,67,1.0,67
51,2022,2,Chaco,144,5.0,144
52,2022,2,Chubut,162,904.0,163
53,2022,2,Córdoba,1,68.0,1
54,2022,2,Corrientes,145,4.0,145
55,2022,2,Entre Ríos,269,22.0,269
56,2022,2,Formosa,68,0.0,68
57,2022,2,Jujuy,115,0.0,115
58,2022,2,La Pampa,111,171.0,112
59,2022,2,La Rioja,86,4.0,86
60,2022,2,Mendoza,279,777.0,280
61,2022,2,Misiones,179,0.0,179
62,2022,2,Neuquén,162,468.0,162
63,2022,2,Río Negro,159,548.0,160
64,2022,2,Salta,203,5.0,203
65,2022,2,San Juan,100,281.0,100
66,2022,2,San Luis,122,182.0,122
67,2022,2,Santa Cruz,49,198.0,49
68,2022,2,Santa Fe,879,110.0,879
69,2022,2,Santiago Del Estero,118,2.0,118
70,2022,2,Tierra Del Fuego,53,312.0,54
71,2022,2,Tucumán,254,30.0,255
72,2022,1,Buenos Aires,5,6.0,5
73,2022,1,Capital Federal,1,2.0,1
74,2022,1,Catamarca,62,1.0,62
75,2022,1,Chaco,144,5.0,144
76,2022,1,Chubut,171,927.0,172
77,2022,1,Córdoba,1,74.0,1
78,2022,1,Corrientes,143,4.0,143
79,2022,1,Entre Ríos,268,22.0,268
80,2022,1,Formosa,55,0.0,55
81,2022,1,Jujuy,117,0.0,117
82,2022,1,La Pampa,110,172.0,110
83,2022,1,La Rioja,84,4.0,84
84,2022,1,Mendoza,274,786.0,275
85,2022,1,Misiones,172,0.0,172
86,2022,1,Neuquén,149,471.0,150
87,2022,1,Río Negro,157,553.0,157
88,2022,1,Salta,198,5.0,198
89,2022,1,San Juan,88,290.0,88
90,2022,1,San Luis,120,185.0,120
91,2022,1,Santa Cruz,49,204.0,49
92,2022,1,Santa Fe,870,115.0,870
93,2022,1,Santiago Del Estero,116,2.0,116
94,2022,1,Tierra Del Fuego,52,313.0,53
95,2022,1,Tucumán,246,30.0,246
96,2021,4,Buenos Aires,5,6.0,5
97,2021,4,Capital Federal,1,2.0,1
98,2021,4,Catamarca,59,1.0,59
99,2021,4,Chaco,144,5.0,144
100,2021,4,Chubut,159,944.0,160
101,2021,4,Córdoba,987,77.0,987
102,2021,4,Corrientes,136,4.0,136
103,2021,4,Entre Ríos,265,22.0,265
104,2021,4,Formosa,54,0.0,54
105,2021,4,Jujuy,114,0.0,114
106,2021,4,La Pampa,107,173.0,107
107,2021,4,La Rioja,83,4.0,83
108,2021,4,Mendoza,267,804.0,268
109,2021,4,Misiones,171,0.0,171
110,2021,4,Neuquén,147,477.0,147
111,2021,4,Río Negro,153,564.0,154
112,2021,4,Salta,199,6.0,199
113,2021,4,San Juan,80,291.0,80
114,2021,4,San Luis,119,187.0,119
115,2021,4,Santa Cruz,48,210.0,48
116,2021,4,Santa Fe,866,176.0,866
