,Año,Trimestre,Provincia,Tecnologia,Conexiones,Zona,Penetracion cada 100 hab,Penetracion cada 100 hogares
0,2022,4,Buenos Aires,ADSL,326000,Centro,1.86,7.44
1,2022,4,Capital Federal,ADSL,139000,Centro,4.46,17.84
2,2022,4,Catamarca,ADSL,9000,Noroeste,2.27,9.08
3,2022,4,Chaco,ADSL,25000,Noreste,2.19,8.76
4,2022,4,Chubut,ADSL,45000,Sur,7.46,29.84
5,2022,4,Córdoba,ADSL,152000,Centro,4.59,18.36
6,2022,4,Corrientes,ADSL,34000,Noreste,2.84,11.36
7,2022,4,Entre Ríos,ADSL,56000,Centro,3.93,15.72
8,2022,4,Formosa,ADSL,14000,Noreste,2.64,10.56
9,2022,4,Jujuy,ADSL,18000,Noroeste,2.26,9.04
10,2022,4,La Pampa,ADSL,8000,Oeste,2.19,8.76
11,2022,4,La Rioja,ADSL,6000,Oeste,1.9,7.6
12,2022,4,Mendoza,ADSL,38000,Oeste,2.18,8.72
13,2022,4,Misiones,ADSL,33000,Noreste,2.58,10.32
14,2022,4,Neuquén,ADSL,29000,Sur,3.99,15.96
15,2022,4,Río Negro,ADSL,34000,Sur,4.46,17.84
16,2022,4,Salta,ADSL,37000,Noroeste,2.57,10.28
17,2022,4,San Juan,ADSL,39000,Oeste,4.77,19.08
18,2022,4,San Luis,ADSL,6000,Oeste,1.11,4.44
19,2022,4,Santa Cruz,ADSL,10000,Sur,3.0,12.0
20,2022,4,Santa Fe,ADSL,164000,Centro,4.82,19.28
21,2022,4,Santiago Del Estero,ADSL,14000,Noreste,1.33,5.32
22,2022,4,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
23,2022,4,Tucumán,ADSL,69000,Noroeste,2.8,11.2
24,2022,3,Buenos Aires,ADSL,340000,Centro,1.94,7.76
25,2022,3,Capital Federal,ADSL,141000,Centro,4.52,18.08
26,2022,3,Catamarca,ADSL,10000,Noroeste,2.53,10.12
27,2022,3,Chaco,ADSL,27000,Noreste,2.37,9.48
28,2022,3,Chubut,ADSL,45000,Sur,7.46,29.84
29,2022,3,Córdoba,ADSL,164000,Centro,4.96,19.84
30,2022,3,Corrientes,ADSL,37000,Noreste,3.09,12.36
31,2022,3,Entre Ríos,ADSL,60000,Centro,4.21,16.84
32,2022,3,Formosa,ADSL,14000,Noreste,2.64,10.56
33,2022,3,Jujuy,ADSL,19000,Noroeste,2.38,9.52
34,2022,3,La Pampa,ADSL,8000,Oeste,2.19,8.76
35,2022,3,La Rioja,ADSL,7000,Oeste,2.22,8.88
36,2022,3,Mendoza,ADSL,38000,Oeste,2.18,8.72
37,2022,3,Misiones,ADSL,36000,Noreste,2.81,11.24
38,2022,3,Neuquén,ADSL,29000,Sur,3.99,15.96
39,2022,3,Río Negro,ADSL,36000,Sur,4.72,18.88
40,2022,3,Salta,ADSL,40000,Noroeste,2.78,11.12
41,2022,3,San Juan,ADSL,39000,Oeste,4.77,19.08
42,2022,3,San Luis,ADSL,7000,Oeste,1.3,5.2
43,2022,3,Santa Cruz,ADSL,10000,Sur,3.0,12.0
44,2022,3,Santa Fe,ADSL,184000,Centro,5.41,21.64
45,2022,3,Santiago Del Estero,ADSL,15000,Noreste,1.42,5.68
46,2022,3,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
47,2022,3,Tucumán,ADSL,78000,Noroeste,3.17,12.68
48,2022,2,Buenos Aires,ADSL,351000,Centro,2.0,8.0
49,2022,2,Capital Federal,ADSL,145000,Centro,4.65,18.6
50,2022,2,Catamarca,ADSL,12000,Noroeste,3.03,12.12
51,2022,2,Chaco,ADSL,30000,Noreste,2.63,10.52
52,2022,2,Chubut,ADSL,45000,Sur,7.46,29.84
53,2022,2,Córdoba,ADSL,179000,Centro,5.41,21.64
54,2022,2,Corrientes,ADSL,38000,Noreste,3.17,12.68
