,Año,Trimestre,Provincia,Velocidad,Conexiones
0,2017.0,4.0,Buenos Aires,Hasta 512 kbps,3.865
1,2017.0,4.0,Capital Federal,Hasta 512 kbps,314.0
2,2017.0,4.0,Catamarca,Hasta 512 kbps,34.0
3,2017.0,4.0,Chaco,Hasta 512 kbps,70.0
4,2017.0,4.0,Chubut,Hasta 512 kbps,67.0
5,2017.0,4.0,Córdoba,Hasta 512 kbps,291.0
6,2017.0,4.0,Corrientes,Hasta 512 kbps,11.0
7,2017.0,4.0,Entre Ríos,Hasta 512 kbps,1.685
8,2017.0,4.0,Formosa,Hasta 512 kbps,1.11
9,2017.0,4.0,Jujuy,Hasta 512 kbps,345.0
10,2017.0,4.0,La Pampa,Hasta 512 kbps,310.0
11,2017.0,4.0,La Rioja,Hasta 512 kbps,9.0
12,2017.0,4.0,Mendoza,Hasta 512 kbps,26.0
13,2017.0,4.0,Misiones,Hasta 512 kbps,1.053
14,2017.0,4.0,Neuquén,Hasta 512 kbps,1.396
15,2017.0,4.0,Río Negro,Hasta 512 kbps,409.0
16,2017.0,4.0,Salta,Hasta 512 kbps,636.0
17,2017.0,4.0,San Juan,Hasta 512 kbps,22.0
18,2017.0,4.0,San Luis,Hasta 512 kbps,59.0
19,2017.0,4.0,Santa Cruz,Hasta 512 kbps,68.0
20,2017.0,4.0,Santa Fe,Hasta 512 kbps,3.109
21,2017.0,4.0,Santiago Del Estero,Hasta 512 kbps,41.0
22,2017.0,4.0,Tierra Del Fuego,Hasta 512 kbps,6.0
23,2017.0,4.0,Tucumán,Hasta 512 kbps,105.0
24,2018.0,1.0,Buenos Aires,Hasta 512 kbps,1.514
25,2018.0,1.0,Capital Federal,Hasta 512 kbps,89.0
26,2018.0,1.0,Catamarca,Hasta 512 kbps,34.0
27,2018.0,1.0,Chaco,Hasta 512 kbps,70.0
28,2018.0,1.0,Chubut,Hasta 512 kbps,67.0
29,2018.0,1.0,Córdoba,Hasta 512 kbps,281.0
30,2018.0,1.0,Corrientes,Hasta 512 kbps,11.0
31,2018.0,1.0,Entre Ríos,Hasta 512 kbps,18.0
32,2018.0,1.0,Formosa,Hasta 512 kbps,1.11
33,2018.0,1.0,Jujuy,Hasta 512 kbps,345.0
34,2018.0,1.0,La Pampa,Hasta 512 kbps,245.0
35,2018.0,1.0,La Rioja,Hasta 512 kbps,9.0
36,2018.0,1.0,Mendoza,Hasta 512 kbps,20.0
37,2018.0,1.0,Misiones,Hasta 512 kbps,48.0
38,2018.0,1.0,Neuquén,Hasta 512 kbps,1.396
39,2018.0,1.0,Río Negro,Hasta 512 kbps,409.0
40,2018.0,1.0,Salta,Hasta 512 kbps,116.0
41,2018.0,1.0,San Juan,Hasta 512 kbps,22.0
42,2018.0,1.0,San Luis,Hasta 512 kbps,57.0
43,2018.0,1.0,Santa Cruz,Hasta 512 kbps,26.0
44,2018.0,1.0,Santa Fe,Hasta 512 kbps,1.359
45,2018.0,1.0,Santiago Del Estero,Hasta 512 kbps,41.0
46,2018.0,1.0,Tierra Del Fuego,Hasta 512 kbps,6.0
47,2018.0,1.0,Tucumán,Hasta 512 kbps,16.0
48,2018.0,2.0,Buenos Aires,Hasta 512 kbps,1.009
49,2018.0,2.0,Capital Federal,Hasta 512 kbps,73.0
50,2018.0,2.0,Catamarca,Hasta 512 kbps,34.0
51,2018.0,2.0,Chaco,Hasta 512 kbps,70.0
52,2018.0,2.0,Chubut,Hasta 512 kbps,67.0
53,2018.0,2.0,Córdoba,Hasta 512 kbps,81.0
54,2018.0,2.0,Corrientes,Hasta 512 kbps,11.0
55,2018.0,2.0,Entre Ríos,Hasta 512 kbps,18.0
56,2018.0,2.0,Formosa,Hasta 512 kbps,1.11
57,2018.0,2.0,Jujuy,Hasta 512 kbps,345.0
58,2018.0,2.0,La Pampa,Hasta 512 kbps,244.0
59,2018.0,2.0,La Rioja,Hasta 512 kbps,9.0
60,2018.0,2.0,Mendoza,Hasta 512 kbps,20.0
