,Año,Trimestre,Periodo,Ingresos
0,2022,4,Oct-Dic 2022,72000
1,2022,3,Jul-Sept 2022,64000
2,2022,2,Abr-Jun 2022,60000
3,2022,1,Ene-Mar 2022,55000
4,2021,4,Oct-Dic 2021,45000
5,2021,3,Jul-Sept 2021,43000
6,2021,2,Abr-Jun 2021,38000
7,2021,1,Ene-Mar 2021,37000
8,2020,4,Oct-Dic 2020,34000
9,2020,3,Jul-Sept 2020,32000
10,2020,2,Abr-Jun 2020,32000
11,2020,1,Ene-Mar 2020,30000
12,2019,4,Oct-Dic 2019,24000
13,2019,3,Jul-Sept 2019,22000
14,2019,2,Abr-Jun 2019,21000
15,2019,1,Ene-Mar 2019,20000
16,2018,4,Oct-Dic 2018,17000
17,2018,3,Jul-Sept 2018,15000
18,2018,2,Abr-Jun 2018,14000
19,2018,1,Ene-Mar 2018,13000
20,2017,4,Oct-Dic 2017,11000
21,2017,3,Jul-Sept 2017,10000
22,2017,2,Abr-Jun 2017,10000
23,2017,1,Ene-Mar 2017,9000
24,2016,4,Oct-Dic 2016,7000
25,2016,3,Jul-Sept 2016,7000
26,2016,2,Abr-Jun 2016,7000
27,2016,1,Ene-Mar 2016,6000
28,2015,4,Oct-Dic 2015,5000
29,2015,3,Jul-Sept 2015,5000
30,2015,2,Abr-Jun 2015,5000
31,2015,1,Ene-Mar 2015,5000
32,2014,4,Oct-Dic 2014,4000
33,2014,3,Jul-Sept 2014,3000
34,2014,2,Abr-Jun 2014,3000
35,2014,1,Ene-Mar 2014,3000
