,Año,Trimestre,Provincia,Accesos por cada 100 hogares,KPI1,index
0,2022,4,Formosa,39.41,-4.350000000000001,8.0
1,2022,3,Formosa,43.76,0.3399999999999963,32.0
2,2022,2,Formosa,43.42,8.46,56.0
3,2022,1,Formosa,34.96,0.509999999999998,80.0
4,2021,4,Formosa,34.45,0.490000000000002,104.0
5,2021,3,Formosa,33.96,0.730000000000004,128.0
6,2021,2,Formosa,33.23,0.5,152.0
7,2021,1,Formosa,32.73,0.23999999999999488,176.0
8,2020,4,Formosa,32.49,0.5800000000000018,200.0
9,2020,3,Formosa,31.91,0.7699999999999996,224.0
10,2020,2,Formosa,31.14,0.9100000000000001,248.0
11,2020,1,Formosa,30.23,-0.23999999999999844,272.0
12,2019,4,Formosa,30.47,0.35999999999999943,296.0
13,2019,3,Formosa,30.11,-0.3100000000000023,320.0
14,2019,2,Formosa,30.42,0.740000000000002,344.0
15,2019,1,Formosa,29.68,-0.05999999999999872,368.0
16,2018,4,Formosa,29.74,0.16000000000000014,392.0
17,2018,3,Formosa,29.58,0.14999999999999858,416.0
18,2018,2,Formosa,29.43,8.030000000000001,440.0
19,2018,1,Formosa,21.4,0.129999999999999,464.0
20,2017,4,Formosa,21.27,-0.08000000000000185,488.0
21,2017,3,Formosa,21.35,1.3800000000000026,512.0
22,2017,2,Formosa,19.97,0.129999999999999,536.0
23,2017,1,Formosa,19.84,-0.010000000000001563,560.0
24,2016,4,Formosa,19.85,1.2100000000000009,584.0
25,2016,3,Formosa,18.64,-0.7300000000000004,608.0
26,2016,2,Formosa,19.37,0.33000000000000185,632.0
27,2016,1,Formosa,19.04,-0.030000000000001137,656.0
28,2015,4,Formosa,19.07,0.23000000000000043,680.0
29,2015,3,Formosa,18.84,0.4800000000000004,704.0
30,2015,2,Formosa,18.36,0.23999999999999844,728.0
31,2015,1,Formosa,18.12,0.16000000000000014,752.0
32,2014,4,Formosa,17.96,0.19000000000000128,776.0
33,2014,3,Formosa,17.77,0.23000000000000043,800.0
34,2014,2,Formosa,17.54,0.11999999999999744,824.0
35,2014,1,Formosa,17.42,0.0,848.0
36,2022,4,Chaco,43.62,-0.240000000000002,3.0
37,2022,3,Chaco,43.86,0.07000000000000028,27.0
38,2022,2,Chaco,43.79,-0.2700000000000031,51.0
39,2022,1,Chaco,44.06,0.010000000000005116,75.0
40,2021,4,Chaco,44.05,1.0899999999999963,99.0
41,2021,3,Chaco,42.96,-0.36999999999999744,123.0
42,2021,2,Chaco,43.33,0.18999999999999773,147.0
43,2021,1,Chaco,43.14,0.10999999999999943,171.0
44,2020,4,Chaco,43.03,1.490000000000002,195.0
45,2020,3,Chaco,41.54,1.7100000000000009,219.0
46,2020,2,Chaco,39.83,2.3500000000000014,243.0
47,2020,1,Chaco,37.48,0.6399999999999935,267.0
48,2019,4,Chaco,36.84,0.990000000000002,291.0
49,2019,3,Chaco,35.85,1.7100000000000009,315.0
50,2019,2,Chaco,34.14,1.5,339.0
51,2019,1,Chaco,32.64,0.04999999999999716,363.0
52,2018,4,Chaco,32.59,0.3100000000000023,387.0
53,2018,3,Chaco,32.28,1.0300000000000011,411.0
54,2018,2,Chaco,31.25,0.4200000000000017,435.0
55,2018,1,Chaco,30.83,0.019999999999999574,459.0
56,2017,4,Chaco,30.81,0.8299999999999983,483.0
57,2017,3,Chaco,29.98,0.9299999999999997,507.0
58,2017,2,Chaco,29.05,0.4299999999999997,531.0
59,2017,1,Chaco,28.62,-0.16999999999999815,555.0
60,2016,4,Chaco,28.79,-0.120000000000001,579.0
61,2016,3,Chaco,28.91,0.3200000000000003,603.0
62,2016,2,Chaco,28.59,0.5100000000000016,627.0
63,2016,1,Chaco,28.08,-0.2700000000000031,651.0
64,2015,4,Chaco,28.35,0.39000000000000057,675.0
65,2015,3,Chaco,27.96,0.5,699.0
66,2015,2,Chaco,27.46,0.8100000000000023,723.0
67,2015,1,Chaco,26.65,4.779999999999998,747.0
68,2014,4,Chaco,21.87,0.7600000000000016,771.0
69,2014,3,Chaco,21.11,0.14999999999999858,795.0
70,2014,2,Chaco,20.96,0.240000000000002,819.0
71,2014,1,Chaco,20.72,0.0,843.0
72,2022,4,Santiago Del Estero,48.05,0.07000000000000028,21.0
73,2022,3,Santiago Del Estero,47.98,0.27999999999999403,45.0
74,2022,2,Santiago Del Estero,47.7,0.5300000000000011,69.0
75,2022,1,Santiago Del Estero,47.17,0.12000000000000455,93.0
76,2021,4,Santiago Del Estero,47.05,0.04999999999999716,117.0
77,2021,3,Santiago Del Estero,47.0,0.4399999999999977,141.0
78,2021,2,Santiago Del Estero,46.56,0.8900000000000006,165.0
79,2021,1,Santiago Del Estero,45.67,1.9200000000000017,189.0
80,2020,4,Santiago Del Estero,43.75,0.36999999999999744,213.0
81,2020,3,Santiago Del Estero,43.38,-0.0899999999999963,237.0
82,2020,2,Santiago Del Estero,43.47,1.0,261.0
83,2020,1,Santiago Del Estero,42.47,-0.45000000000000284,285.0
84,2019,4,Santiago Del Estero,42.92,-12.379999999999995,309.0
85,2019,3,Santiago Del Estero,55.3,2.509999999999998,333.0
86,2019,2,Santiago Del Estero,52.79,15.269999999999996,357.0
87,2019,1,Santiago Del Estero,37.52,0.12000000000000455,381.0
88,2018,4,Santiago Del Estero,37.4,1.1499999999999986,405.0
89,2018,3,Santiago Del Estero,36.25,0.990000000000002,429.0
90,2018,2,Santiago Del Estero,35.26,0.269999999999996,453.0
91,2018,1,Santiago Del Estero,34.99,5.860000000000003,477.0
92,2017,4,Santiago Del Estero,29.13,-5.989999999999998,501.0
93,2017,3,Santiago Del Estero,35.12,21.0,525.0
94,2017,2,Santiago Del Estero,14.12,-0.5800000000000001,549.0
95,2017,1,Santiago Del Estero,14.7,-0.370000000000001,573.0
96,2016,4,Santiago Del Estero,15.07,-0.2599999999999998,597.0
97,2016,3,Santiago Del Estero,15.33,-0.5600000000000005,621.0
98,2016,2,Santiago Del Estero,15.89,-0.3200000000000003,645.0
99,2016,1,Santiago Del Estero,16.21,-0.7899999999999991,669.0
100,2015,4,Santiago Del Estero,17.0,-0.120000000000001,693.0
101,2015,3,Santiago Del Estero,17.12,0.010000000000001563,717.0
102,2015,2,Santiago Del Estero,17.11,0.05000000000000071,741.0
103,2015,1,Santiago Del Estero,17.06,-0.21000000000000085,765.0
104,2014,4,Santiago Del Estero,17.27,0.7800000000000011,789.0
105,2014,3,Santiago Del Estero,16.49,-0.21000000000000085,813.0
106,2014,2,Santiago Del Estero,16.7,0.39000000000000057,837.0
107,2014,1,Santiago Del Estero,16.31,0.0,861.0
108,2022,4,Corrientes,51.64,3.4299999999999997,6.0
109,2022,3,Corrientes,48.21,-0.14000000000000057,30.0
110,2022,2,Corrientes,48.35,0.7100000000000009,54.0
111,2022,1,Corrientes,47.64,2.1300000000000026,78.0
112,2021,4,Corrientes,45.51,0.6099999999999994,102.0
113,2021,3,Corrientes,44.9,1.3599999999999994,126.0
114,2021,2,Corrientes,43.54,0.8800000000000026,150.0
115,2021,1,Corrientes,42.66,0.22999999999999687,174.0
116,2020,4,Corrientes,42.43,0.6799999999999997,198.0
117,2020,3,Corrientes,41.75,1.4500000000000028,222.0
118,2020,2,Corrientes,40.3,1.5700000000000003,246.0
119,2020,1,Corrientes,38.73,-0.04000000000000625,270.0
120,2019,4,Corrientes,38.77,0.28000000000000114,294.0
121,2019,3,Corrientes,38.49,0.3300000000000054,318.0
122,2019,2,Corrientes,38.16,3.029999999999994,342.0
123,2019,1,Corrientes,35.13,0.5600000000000023,366.0
124,2018,4,Corrientes,34.57,0.3200000000000003,390.0
125,2018,3,Corrientes,34.25,0.4399999999999977,414.0
126,2018,2,Corrientes,33.81,1.1500000000000057,438.0
127,2018,1,Corrientes,32.66,0.13999999999999346,462.0
128,2017,4,Corrientes,32.52,0.3500000000000014,486.0
129,2017,3,Corrientes,32.17,0.7800000000000011,510.0
130,2017,2,Corrientes,31.39,0.4499999999999993,534.0
131,2017,1,Corrientes,30.94,-0.03999999999999915,558.0
132,2016,4,Corrientes,30.98,-0.08999999999999986,582.0
133,2016,3,Corrientes,31.07,0.490000000000002,606.0
134,2016,2,Corrientes,30.58,0.5,630.0
135,2016,1,Corrientes,30.08,-0.26000000000000156,654.0
136,2015,4,Corrientes,30.34,0.16999999999999815,678.0
137,2015,3,Corrientes,30.17,0.5900000000000034,702.0
138,2015,2,Corrientes,29.58,0.629999999999999,726.0
139,2015,1,Corrientes,28.95,5.390000000000001,750.0
140,2014,4,Corrientes,23.56,0.7699999999999996,774.0
141,2014,3,Corrientes,22.79,0.21000000000000085,798.0
142,2014,2,Corrientes,22.58,0.259999999999998,822.0
143,2014,1,Corrientes,22.32,0.0,846.0
144,2022,4,Misiones,52.85,1.0300000000000011,13.0
145,2022,3,Misiones,51.82,0.8200000000000003,37.0
146,2022,2,Misiones,51.0,1.9600000000000009,61.0
147,2022,1,Misiones,49.04,-0.020000000000003126,85.0
148,2021,4,Misiones,49.06,3.490000000000002,109.0
149,2021,3,Misiones,45.57,0.5600000000000023,133.0
150,2021,2,Misiones,45.01,1.8399999999999963,157.0
151,2021,1,Misiones,43.17,0.5300000000000011,181.0
152,2020,4,Misiones,42.64,1.0399999999999991,205.0
153,2020,3,Misiones,41.6,0.7100000000000009,229.0
154,2020,2,Misiones,40.89,1.8699999999999974,253.0
155,2020,1,Misiones,39.02,-0.769999999999996,277.0
156,2019,4,Misiones,39.79,0.46000000000000085,301.0
157,2019,3,Misiones,39.33,0.17999999999999972,325.0
158,2019,2,Misiones,39.15,2.8900000000000006,349.0
159,2019,1,Misiones,36.26,1.8099999999999952,373.0
