,Provincia,Partido,Localidad,ADSL,Cablemodem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
0,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),True,False,False,False,True,True,True,False,False
1,BUENOS AIRES,9 de Julio,Carlos María Naón,False,False,False,False,True,True,True,False,False
2,BUENOS AIRES,9 de Julio,Dudignac,False,False,True,False,True,True,True,True,False
3,BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),False,False,False,False,True,False,False,False,False
4,BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),True,False,False,True,True,True,True,False,False
5,BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),False,False,False,False,True,False,True,False,False
6,BUENOS AIRES,9 de Julio,Morea,False,False,False,False,False,False,True,True,False
7,BUENOS AIRES,9 de Julio,Norumbega,False,False,False,False,False,False,True,False,False
8,BUENOS AIRES,9 de Julio,Patricios,True,False,False,False,False,True,True,True,False
9,BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),False,False,False,True,True,True,True,True,False
10,BUENOS AIRES,Adolfo Alsina,Carhué,True,False,True,True,True,True,True,True,False
11,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,False,False,False,True,True,False,True,False,False
12,BUENOS AIRES,Adolfo Alsina,Delfín Huergo,False,False,False,False,False,False,False,False,False
13,BUENOS AIRES,Adolfo Alsina,Espartillar,False,False,False,False,True,False,False,False,False
14,BUENOS AIRES,Azul,Ariel,False,False,False,False,True,False,False,False,False
15,BUENOS AIRES,Azul,Azul,True,True,True,True,True,True,True,True,True
16,BUENOS AIRES,Azul,Cacharí,False,False,True,False,True,True,True,True,False
17,BUENOS AIRES,Azul,Chillar,False,False,False,False,True,True,True,True,True
18,BUENOS AIRES,Bahía Blanca,Bahía Blanca,True,True,True,True,True,True,True,True,True
19,BUENOS AIRES,Bahía Blanca,Cabildo,False,True,True,True,True,True,True,True,False
20,BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),True,True,True,True,True,True,True,True,False
21,BUENOS AIRES,Bahía Blanca,Grunbein,False,False,False,False,True,True,False,False,False
22,BUENOS AIRES,Bahía Blanca,Ingeniero White,False,False,False,True,True,True,False,False,True
23,BUENOS AIRES,General Pueyrredón,Chapadmalal,True,False,False,True,True,True,True,True,True
24,BUENOS AIRES,General Pueyrredón,El Marquesado,False,False,False,False,False,False,True,True,False
25,BUENOS AIRES,General Pueyrredón,Estacion Camet,False,False,False,False,True,True,False,False,False
26,BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,True,False,False,True,True,True,False,True,False
27,BUENOS AIRES,General Pueyrredón,Mar del Plata,True,True,True,True,True,True,True,True,True
28,BUENOS AIRES,General Pueyrredón,Punta Mogotes,False,False,False,False,True,True,False,False,False
29,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,True,False,False,True,True,True,True,True,False
30,BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,False,False,False,True,True,True,False,False,False
31,BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,False,False,False,False,True,True,False,False,False
32,BUENOS AIRES,Pellegrini,Pellegrini,True,True,True,False,True,True,True,True,True
33,BUENOS AIRES,Pergamino,Acevedo,True,True,False,False,True,True,True,True,False
34,BUENOS AIRES,Pergamino,Fontezuela,True,False,False,True,False,False,True,True,False
35,BUENOS AIRES,Pergamino,Guerrico,False,True,False,False,True,True,False,True,True
36,BUENOS AIRES,Pergamino,Juan A. de la Peña,False,False,False,False,False,False,False,True,False
37,BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),True,False,False,True,True,True,True,True,False
38,BUENOS AIRES,Pergamino,La Violeta,True,False,False,False,True,True,True,False,False
39,BUENOS AIRES,Pergamino,Manuel Ocampo,False,False,False,True,True,True,True,True,False
40,BUENOS AIRES,Pergamino,Mariano Benítez,False,False,False,False,False,False,True,False,False
41,BUENOS AIRES,Pergamino,Mariano H. Alfonzo (Est. San Patricio),False,False,False,False,True,True,False,False,True
42,BUENOS AIRES,Pergamino,Pergamino,True,True,True,True,True,True,True,True,True
43,BUENOS AIRES,Pergamino,Pinzón,False,False,False,False,False,False,False,True,False
44,MENDOZA,Lavalle,El Paramillo,False,False,False,False,False,False,False,False,False
45,CABA,COMUNA 12,VILLA PUEYRREDON,True,True,True,True,True,True,True,True,True
46,CATAMARCA,Ambato,Los Varela,False,False,False,False,True,False,False,False,True
47,CATAMARCA,Ambato,Singuil,False,False,False,False,True,False,False,False,False
48,CATAMARCA,Ancasti,Ancasti,False,False,False,False,True,False,True,False,True
49,CATAMARCA,Ancasti,Anquincila,False,False,False,False,False,False,False,False,False
50,CATAMARCA,Ancasti,La Candelaria,False,False,False,False,False,False,False,False,False
51,CATAMARCA,Ancasti,La Majada,False,False,False,False,False,False,False,False,False
52,CATAMARCA,Andalgalá,Aconquija,False,False,False,False,True,True,False,False,True
53,CATAMARCA,Andalgalá,Alto De Las Juntas,False,False,False,False,False,False,False,False,False
54,CATAMARCA,Andalgalá,Amanao,False,False,False,False,False,True,True,False,False
55,CATAMARCA,Andalgalá,Andalgalá,True,False,False,True,True,True,True,True,True
56,CATAMARCA,Andalgalá,Buena Vista,False,False,False,False,False,False,False,False,False
57,CATAMARCA,Andalgalá,Chaquiago,False,False,False,True,False,False,False,True,True
58,CATAMARCA,Andalgalá,Choya,False,False,False,False,False,False,False,False,False
59,CATAMARCA,Andalgalá,El Alamito,False,False,False,False,False,False,False,True,False
60,CATAMARCA,Andalgalá,El Lindero,False,False,False,False,False,False,True,False,False
61,CATAMARCA,Andalgalá,El Potrero,False,False,False,True,False,False,True,False,False
62,CATAMARCA,Andalgalá,La Aguada,False,False,False,True,False,False,False,True,False
63,CATAMARCA,Andalgalá,La Mesada,False,False,False,True,False,False,False,False,False
64,CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,False,False,False,False,True,False,True,False,True
65,CATAMARCA,Antofagasta de la Sierra,Antofalla,False,False,False,False,False,False,False,False,False
66,CATAMARCA,Antofagasta de la Sierra,El Peñón,False,False,False,False,False,False,True,False,False
67,CATAMARCA,Antofagasta de la Sierra,Los Nacimientos,False,False,False,False,False,False,False,False,False
68,CATAMARCA,Belén,Barranca Larga,False,False,False,False,False,False,True,False,False
69,CATAMARCA,Belén,Belén,False,False,False,False,True,True,True,True,True
70,CATAMARCA,Belén,Cóndor Huasi,False,False,False,False,False,False,False,False,False
71,CATAMARCA,Belén,Corral Quemado,False,False,False,False,False,False,True,False,False
72,CATAMARCA,Belén,El Durazno,False,False,False,False,False,False,False,False,True
73,CATAMARCA,Belén,Farallón Negro,False,False,False,False,True,False,True,False,False
74,CATAMARCA,Belén,Hualfín,False,False,False,False,True,False,True,False,True
75,CATAMARCA,Belén,Jacipunco,False,False,False,False,False,False,True,False,False
76,CORDOBA,San Javier,Villa de las Rosas,False,False,False,False,True,True,False,True,False
77,CORDOBA,San Javier,Villa Dolores,True,True,False,True,True,True,True,True,False
78,CORDOBA,San Javier,Villa La Viña,False,False,False,False,False,False,False,True,False
79,CORDOBA,San Justo,Alicia,False,True,False,True,True,True,True,False,True
80,CORDOBA,San Justo,Altos de Chipión,False,False,False,True,True,True,True,False,True
81,CORDOBA,San Justo,Arroyito,True,True,False,True,True,True,True,True,True
82,CORDOBA,San Justo,Balnearia,False,False,False,False,True,True,True,False,False
83,CORDOBA,San Justo,Brinkmann,True,False,False,True,True,True,True,False,False
84,CORDOBA,San Justo,Colonia 10 de Julio,False,False,False,False,False,False,False,False,False
85,CORDOBA,San Justo,Colonia Anita,False,False,False,False,False,False,False,True,False
86,CORDOBA,San Justo,Colonia Iturraspe,False,False,False,False,False,False,False,False,False
87,CORDOBA,San Justo,Colonia Las Pichanas,False,False,False,False,False,False,False,True,False
88,ENTRE RIOS,Uruguay,Caseros,True,False,False,True,True,True,True,True,False
89,ENTRE RIOS,Uruguay,Colonia Elía,False,False,False,True,True,False,True,True,False
90,ENTRE RIOS,Uruguay,Concepción del Uruguay,True,True,True,True,True,True,True,True,False
91,ENTRE RIOS,Uruguay,Estancia San Pedro,False,False,False,False,False,False,False,True,False
92,ENTRE RIOS,Uruguay,Herrera,True,False,False,False,True,False,True,True,False
93,ENTRE RIOS,Uruguay,Las Moscas,False,False,False,True,True,False,True,True,False
94,ENTRE RIOS,Uruguay,Líbaros,False,False,False,False,False,False,True,True,False
95,ENTRE RIOS,Uruguay,Pronunciamiento,False,False,False,False,True,True,True,True,False
96,ENTRE RIOS,Uruguay,Rocamora,False,False,False,False,False,False,True,True,False
97,ENTRE RIOS,Uruguay,Santa Anita,False,False,False,True,True,False,True,True,False
98,ENTRE RIOS,Uruguay,Villa Mantero,True,False,False,True,True,True,True,True,True
99,ENTRE RIOS,Uruguay,Villa San Justo,False,False,False,True,True,True,True,True,False
100,ENTRE RIOS,Uruguay,Villa San Marcial (Est. Gobernador Urquiza),False,False,False,False,True,True,True,True,False
101,ENTRE RIOS,Victoria,Antelo,False,False,False,False,False,False,False,False,False
102,MENDOZA,Lavalle,El Vergel,False,False,False,False,False,False,False,True,False
103,MENDOZA,Lavalle,Ingeniero Gustavo André,False,False,False,False,False,False,False,True,False
104,MENDOZA,Lavalle,Jocolí,False,False,False,False,False,False,False,True,False
105,MENDOZA,Lavalle,Jocolí Viejo,False,False,False,False,False,False,False,True,False
106,MENDOZA,Lavalle,Las Violetas,False,False,False,False,False,False,False,False,False
107,MENDOZA,Lavalle,Villa Tulumaya,False,False,False,True,True,True,False,True,False
108,MENDOZA,Luján de Cuyo,Agrelo,True,False,False,True,True,True,True,True,False
109,MENDOZA,Luján de Cuyo,Barrio Adina I Y Ii,False,False,False,False,True,True,False,False,False
110,MENDOZA,Luján de Cuyo,Barrio Perdriel IV,False,False,False,True,True,False,False,True,False
111,MENDOZA,Luján de Cuyo,Cacheuta,True,False,False,False,True,True,True,True,False
112,MENDOZA,Luján de Cuyo,CARRODILLA,False,False,False,True,True,True,False,True,False
113,MENDOZA,Luján de Cuyo,CHACRAS DE CORIA,False,False,False,True,True,True,False,True,False
114,MENDOZA,Luján de Cuyo,Costa Flores,False,False,False,True,True,True,False,True,False
115,MENDOZA,Luján de Cuyo,El Carmelo,False,False,False,False,False,False,False,False,False
116,MENDOZA,Luján de Cuyo,El Carrizal,False,False,False,False,True,False,False,True,False
117,MENDOZA,Luján de Cuyo,El Salto,False,False,False,False,False,False,True,True,False
118,MENDOZA,Luján de Cuyo,La Puntilla,False,False,False,True,False,False,False,True,False
119,MENDOZA,Rivadavia,Rivadavia,True,False,True,True,True,True,True,True,True
120,MENDOZA,Rivadavia,Santa María de Oro,False,False,False,False,False,False,False,True,False
121,MENDOZA,San Carlos,Barrio Carrasco,False,False,False,False,False,False,False,False,False
122,MENDOZA,San Carlos,Barrio El Cepillo,False,False,False,False,False,False,False,True,False
123,MENDOZA,San Carlos,Chilecito,False,False,False,False,True,True,False,True,False
124,MENDOZA,San Carlos,Eugenio Bustos,True,False,False,False,True,True,True,True,False
125,MENDOZA,San Carlos,La Consulta,True,False,False,False,True,True,True,True,True
126,MENDOZA,San Carlos,Pareditas,False,False,False,True,True,True,True,True,False
127,MENDOZA,San Carlos,San Carlos,False,True,False,False,True,True,False,True,False
128,MENDOZA,San Martín,Alto Salvador,False,False,False,True,False,False,True,True,False
129,MENDOZA,San Martín,Alto Verde,False,False,False,True,False,False,False,True,False
130,MENDOZA,San Martín,Barrio Chivilcoy,False,False,False,False,False,False,False,False,False
131,MENDOZA,San Martín,Barrio Emanuel,False,False,False,False,False,False,False,False,False
132,MENDOZA,San Martín,Barrio La Estación,False,False,False,False,False,False,False,False,False
133,MENDOZA,San Martín,Barrio Los Charabones,False,False,False,False,False,False,False,False,False
134,MENDOZA,San Martín,Barrio Ntra. Sra. De Fátima,False,False,False,False,False,True,False,False,False
135,MENDOZA,San Martín,Chapanay,False,False,True,True,True,True,True,True,False
136,MENDOZA,San Martín,Chivilcoy,False,False,False,False,False,False,False,False,False
137,MENDOZA,San Martín,El Espino,False,False,False,False,False,False,False,True,False
138,SALTA,La Caldera,La Caldera,False,False,False,True,True,True,True,True,True
139,SALTA,La Caldera,Vaqueros,True,False,False,True,True,True,True,True,False
140,SALTA,La Candelaria,El Jardín,False,False,False,True,True,False,True,False,True
141,SALTA,La Candelaria,El Tala,False,False,False,True,True,True,True,True,True
142,SALTA,La Candelaria,La Candelaria,False,False,False,True,True,False,True,False,False
143,SALTA,La Poma,Cobres,False,False,False,False,False,False,False,False,False
144,SALTA,La Poma,La Poma,False,False,False,True,False,False,False,True,False
145,SALTA,La Viña,Ampascachi,False,False,False,False,False,False,False,True,False
146,SALTA,La Viña,Cabra Corral,False,False,False,False,True,False,False,True,False
147,SALTA,La Viña,Coronel Moldes,True,False,False,False,True,True,True,True,True
148,SALTA,La Viña,La Viña,False,False,False,True,True,False,True,True,True
149,SALTA,La Viña,Talapampa,False,False,False,False,False,False,False,True,False
150,SALTA,Los Andes,Olacapato,False,False,False,True,False,False,True,True,True
