,provincia,departamento,localidad,geometry
0,Buenos Aires,Tres Arroyos,Tres Arroyos,MULTIPOINT ((-60.34485806432177 -38.8948939829726))
1,Córdoba,Juárez Celman,Olaeta,MULTIPOINT ((-63.906066644628076 -33.04476144888969))
2,Corrientes,Concepción,Tabay,MULTIPOINT ((-58.286865633583844 -28.308135912714427))
3,Neuquén,Zapala,Zapala,MULTIPOINT ((-70.06421121666217 -38.902934354529485))
4,Buenos Aires,Rojas,Rojas,MULTIPOINT ((-60.73370069504291 -34.197742429076996))
5,Santa Fe,Belgrano,Bouquet,MULTIPOINT ((-61.88973605957988 -32.42363150242182))
6,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-62.75999038962977 -37.17948326473065))
7,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-63.11715636049272 -37.449017880323375))
8,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-63.234384727382796 -37.32110751966492))
9,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-62.43837979346337 -37.35741099873608))
10,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-63.254311550389026 -37.45583651118458))
11,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-63.366465603828374 -36.66392035666456))
12,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-63.33928117178192 -36.80031605338863))
13,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-63.24178972389291 -37.16059674387111))
14,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-63.24217352401192 -37.46135363922384))
15,Buenos Aires,Adolfo Alsina,Adolfo Alsina,MULTIPOINT ((-63.13202790564454 -36.987320407212465))
16,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,MULTIPOINT ((-60.09939192766475 -38.032370729476746))
17,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,MULTIPOINT ((-60.41678548465893 -37.96654172798577))
18,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,MULTIPOINT ((-60.48205544899001 -37.82003860698686))
19,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,MULTIPOINT ((-60.169791056182234 -38.17580100702788))
20,Buenos Aires,Alberti,Alberti,MULTIPOINT ((-60.28028601660901 -35.031574623011835))
21,Buenos Aires,Alberti,Alberti,MULTIPOINT ((-60.39297144398277 -34.86744005215179))
22,Buenos Aires,Alberti,Alberti,MULTIPOINT ((-60.40342701013243 -35.067386109494876))
23,Buenos Aires,Alberti,Alberti,MULTIPOINT ((-60.221916141302934 -35.12289598687084))
24,Buenos Aires,Alberti,Alberti,MULTIPOINT ((-60.070218183491605 -35.109999975239624))
25,Buenos Aires,Alberti,Alberti,MULTIPOINT ((-60.34748048065013 -34.88822502721612))
26,Buenos Aires,Alberti,Alberti,MULTIPOINT ((-60.30630114636627 -34.8445367882073))
27,Buenos Aires,Almirante Brown,Almirante Brown,MULTIPOINT ((-58.38432962728825 -34.79801384022823))
28,Buenos Aires,Avellaneda,Avellaneda,MULTIPOINT ((-58.36516685600892 -34.66269450993553))
29,Buenos Aires,Ayacucho,Ayacucho,MULTIPOINT ((-58.48837917470281 -37.152760991275926))
30,Buenos Aires,Ayacucho,Ayacucho,MULTIPOINT ((-58.76010441305981 -37.22634659897334))
31,Buenos Aires,Ayacucho,Ayacucho,MULTIPOINT ((-58.50816756901462 -36.842874855336305))
32,Buenos Aires,Ayacucho,Ayacucho,MULTIPOINT ((-58.53469631882533 -36.56236790368511))
33,Buenos Aires,Azul,Azul,MULTIPOINT ((-59.921751903635 -36.53142230000458))
34,Buenos Aires,Azul,Azul,MULTIPOINT ((-59.86344304580158 -36.77744699995601))
35,Buenos Aires,Azul,Azul,MULTIPOINT ((-59.50460421673315 -36.37667300538956))
36,Buenos Aires,Azul,Azul,MULTIPOINT ((-59.98516566691098 -37.31280384412935))
37,Buenos Aires,Azul,Azul,MULTIPOINT ((-60.1646533455059 -37.20051496769941))
38,Buenos Aires,Bahía Blanca,Bahía Blanca,MULTIPOINT ((-62.265446934327635 -38.717605090851706))
39,Buenos Aires,Bahía Blanca,Bahía Blanca,MULTIPOINT ((-61.89375216270441 -38.485152883333235))
40,Buenos Aires,Bahía Blanca,Bahía Blanca,MULTIPOINT ((-62.395308975715636 -38.71936554552792))
41,Buenos Aires,Balcarce,Balcarce,MULTIPOINT ((-58.25549116885794 -37.846382622770236))
42,Buenos Aires,Balcarce,Balcarce,MULTIPOINT ((-58.32427673976767 -37.94270975176353))
43,Buenos Aires,Balcarce,Balcarce,MULTIPOINT ((-58.74636850726559 -37.623070669902624))
44,Buenos Aires,Balcarce,Balcarce,MULTIPOINT ((-58.340605118922284 -37.540894919684554))
45,Buenos Aires,Balcarce,Balcarce,MULTIPOINT ((-58.35593424991227 -38.01411127848699))
46,Buenos Aires,Balcarce,Balcarce,MULTIPOINT ((-57.98101202391833 -37.861223079164155))
47,Buenos Aires,Baradero,Baradero,MULTIPOINT ((-59.502227834721516 -33.80707277464868))
48,Buenos Aires,Baradero,Baradero,MULTIPOINT ((-59.67012170831329 -33.979830382843296))
49,Buenos Aires,Baradero,Baradero,MULTIPOINT ((-59.56021596393335 -34.06087123532024))
50,Buenos Aires,Baradero,Baradero,MULTIPOINT ((-59.39064906532713 -33.90766091821515))
51,Buenos Aires,Arrecifes,Arrecifes,MULTIPOINT ((-60.10869158501665 -34.067514907857806))
52,Buenos Aires,Arrecifes,Arrecifes,MULTIPOINT ((-60.15527054278427 -34.0335541163485))
53,Buenos Aires,Arrecifes,Arrecifes,MULTIPOINT ((-60.22641835691401 -33.99237914956167))
54,Buenos Aires,Benito Juárez,Benito Juárez,MULTIPOINT ((-59.391129137034206 -37.63966064864057))
55,Buenos Aires,Benito Juárez,Benito Juárez,MULTIPOINT ((-59.80480518407141 -37.674284974425944))
56,Buenos Aires,Benito Juárez,Benito Juárez,MULTIPOINT ((-59.62776661923983 -37.552280337456764))
57,Buenos Aires,Benito Juárez,Benito Juárez,MULTIPOINT ((-59.76020292552852 -37.36427185519261))
58,Buenos Aires,Benito Juárez,Benito Juárez,MULTIPOINT ((-59.39618647126896 -37.67622544422311))
59,Buenos Aires,Berazategui,Berazategui,MULTIPOINT ((-58.226143186046464 -34.769791044984906))
60,Buenos Aires,Berisso,Berisso,MULTIPOINT ((-57.88864792586132 -34.867460608719895))
61,Buenos Aires,Bolívar,Bolívar,MULTIPOINT ((-60.855489814834044 -36.002064335420116))
62,Buenos Aires,Bolívar,Bolívar,MULTIPOINT ((-61.25403504352546 -36.34714827039419))
63,Buenos Aires,Bolívar,Bolívar,MULTIPOINT ((-61.024831384397196 -36.50357081805653))
64,Buenos Aires,Bolívar,Bolívar,MULTIPOINT ((-61.55551899514237 -36.510157487087795))
65,Buenos Aires,Bolívar,Bolívar,MULTIPOINT ((-61.1139170844785 -36.229879266824284))
66,Buenos Aires,Bolívar,Bolívar,MULTIPOINT ((-61.42010022532199 -36.43161907048421))
67,Buenos Aires,Bolívar,Bolívar,MULTIPOINT ((-61.3636659844575 -36.60153157319389))
68,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.41606029133414 -35.22550394471156))
69,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.489649989621626 -35.11556627856399))
70,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.52137984122843 -35.32255697545248))
71,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.760500081058694 -34.90560966033924))
72,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.691021750222845 -34.770203932867595))
73,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.59119176982625 -35.080096033447425))
74,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.70475405483605 -35.06161548283158))
75,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.41181657065666 -35.07337903334906))
76,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.611072978731656 -35.23739440244378))
77,Buenos Aires,Bragado,Bragado,MULTIPOINT ((-60.538952827321204 -34.910133670922804))
78,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.15115806330925 -35.36100184031823))
79,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.04844447963978 -35.314535649589814))
80,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.13054794473807 -35.00110830528293))
81,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.18486866506138 -35.1037753797213))
82,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.27725477353952 -35.098580859227255))
83,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.09926857637689 -35.11690033554122))
84,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.23733023963522 -35.16795941386955))
85,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.24162505976277 -35.2088016763536))
86,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.16603950522756 -35.067542541739485))
87,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.19814456411906 -35.27770310716238))
88,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-57.94907535203261 -35.18448082736747))
89,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.04734543588798 -35.14934200752623))
90,Buenos Aires,Brandsen,Brandsen,MULTIPOINT ((-58.28099203732846 -35.21940217384836))
91,Buenos Aires,Campana,Campana,MULTIPOINT ((-58.98478991006065 -34.31377955221737))
92,Buenos Aires,Campana,Campana,MULTIPOINT ((-58.959743539203686 -34.25252421256275))
93,Buenos Aires,Campana,Campana,MULTIPOINT ((-58.95920775025642 -34.16325402031247))
94,Buenos Aires,Campana,Campana,MULTIPOINT ((-58.911555922828505 -34.287802489457164))
95,Buenos Aires,Campana,Campana,MULTIPOINT ((-58.89760600791185 -34.27864094865378))
96,Buenos Aires,Cañuelas,Cañuelas,MULTIPOINT ((-58.674550927133026 -34.97761138663552))
97,Buenos Aires,Cañuelas,Cañuelas,MULTIPOINT ((-58.8653096492075 -35.07145153852333))
98,Buenos Aires,Cañuelas,Cañuelas,MULTIPOINT ((-58.76199118671494 -35.053838829657224))
99,Buenos Aires,Cañuelas,Cañuelas,MULTIPOINT ((-58.595979416971886 -35.30267267290382))
100,Buenos Aires,Cañuelas,Cañuelas,MULTIPOINT ((-58.61887360542299 -34.936869444175755))
101,Buenos Aires,Cañuelas,Cañuelas,MULTIPOINT ((-58.72876245900674 -34.96084538499231))
102,Buenos Aires,Cañuelas,Cañuelas,MULTIPOINT ((-58.89203644190935 -35.12383051097399))
103,Buenos Aires,Cañuelas,Cañuelas,MULTIPOINT ((-58.65184077312116 -34.96553625626932))
104,Buenos Aires,Capitán Sarmiento,Capitán Sarmiento,MULTIPOINT ((-59.79359868021506 -34.17127984887442))
105,Buenos Aires,Capitán Sarmiento,Capitán Sarmiento,MULTIPOINT ((-59.926418211776884 -34.12956527851227))
106,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.53411349608673 -35.91661677315881))
107,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.3357772405074 -35.77155009570921))
108,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.365495130736136 -35.622473748119724))
109,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.43709253334098 -35.52444132784342))
110,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.262850776232476 -35.92423317920836))
111,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.16943849494988 -35.6993607609288))
112,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.526835554856234 -35.58157380301479))
113,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.49576491569194 -35.47794651084352))
114,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.16016489686347 -35.88057047801235))
115,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.51076590164135 -35.67531964865084))
116,Buenos Aires,Carlos Casares,Carlos Casares,MULTIPOINT ((-61.592522428285655 -35.49536751667233))
117,Buenos Aires,Colón,Colón,MULTIPOINT ((-61.099416361816665 -33.89712639672904))
118,Buenos Aires,Carlos Tejedor,Carlos Tejedor,MULTIPOINT ((-62.419953460541485 -35.39148631000838))
119,Buenos Aires,Carlos Tejedor,Carlos Tejedor,MULTIPOINT ((-62.72792912841886 -35.436470394557865))
120,Buenos Aires,Carlos Tejedor,Carlos Tejedor,MULTIPOINT ((-62.194703733034544 -35.64091405919847))
121,Buenos Aires,Carlos Tejedor,Carlos Tejedor,MULTIPOINT ((-62.22294258260899 -35.34754722013562))
122,Buenos Aires,Carlos Tejedor,Carlos Tejedor,MULTIPOINT ((-62.77440930282914 -35.19559582076815))
123,Buenos Aires,Carmen de Areco,Carmen de Areco,MULTIPOINT ((-59.822696533008354 -34.37666207859563))
124,Buenos Aires,Carmen de Areco,Carmen de Areco,MULTIPOINT ((-59.801354665588846 -34.49355835523981))
125,Buenos Aires,Carmen de Areco,Carmen de Areco,MULTIPOINT ((-59.99945034819149 -34.46656331842719))
126,Buenos Aires,Castelli,Castelli,MULTIPOINT ((-57.8074789990778 -36.090917851427314))
127,Buenos Aires,Castelli,Castelli,MULTIPOINT ((-57.82109621689716 -36.05546787448398))
128,Buenos Aires,Castelli,Castelli,MULTIPOINT ((-57.44953543800417 -35.97486045098669))
129,Buenos Aires,Colón,Colón,MULTIPOINT ((-60.942327511882546 -33.91336607357413))
130,Buenos Aires,Colón,Colón,MULTIPOINT ((-60.89305838768278 -33.65328831922424))
131,Buenos Aires,Colón,Colón,MULTIPOINT ((-61.20172434735257 -34.04809391078291))
132,Buenos Aires,Coronel de Marina Leonardo Rosales,Coronel de Marina L. Rosales,MULTIPOINT ((-62.10100098566713 -38.809520226178535))
133,Buenos Aires,Coronel de Marina Leonardo Rosales,Coronel de Marina L. Rosales,MULTIPOINT ((-61.92051287441512 -38.76279648735077))
134,Buenos Aires,Coronel de Marina Leonardo Rosales,Coronel de Marina L. Rosales,MULTIPOINT ((-61.55366405377757 -38.99989356665698))
135,Buenos Aires,Coronel de Marina Leonardo Rosales,Coronel de Marina L. Rosales,MULTIPOINT ((-62.119266105441355 -38.783768717143694))
136,Buenos Aires,Coronel de Marina Leonardo Rosales,Coronel de Marina L. Rosales,MULTIPOINT ((-62.07499663558571 -38.88045821935037))
137,Buenos Aires,Coronel Dorrego,Coronel Dorrego,MULTIPOINT ((-60.88281510332276 -38.62107235563483))
138,Buenos Aires,Coronel Dorrego,Coronel Dorrego,MULTIPOINT ((-60.53499331510853 -38.920511965993086))
