Año,Trimestre,Provincia,Hasta 512 kbps,Entre 1 Mbps y 6 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Entre 512 Kbps y 1 Mbps,Entre 6 Mbps y 10 Mbps,Más de 30 Mbps,Otros
"","","",,0,,,,,,
2017,4,Buenos Aires,3.865,,831.394,339.916,55.04600000000001,343.56600000000003,141.942,114.182
2017,4,Capital Federal,314,1304.23,467.111,180.711,731.71,1229.094,134.19400000000002,0
2017,4,Catamarca,34,256.074,4.925,43,4.181,5.904,0,2.151
2017,4,Chaco,70,101.08000000000001,768.3739999999999,694.646,4.431,24.088,631.297,1.035
2017,4,Chubut,67,671.088,7,5,4.313,5.355,9,0
2017,4,Córdoba,291,280.837,219.59999999999997,41.045,25.411,235.75900000000001,21.186,8.429
2017,4,Corrientes,11,877.2429999999999,753.308,211.86,5.22,23.686,620.814,0
2017,4,Entre Ríos,1.685,1078.482,48.991,280.704,16.070999999999998,46.187999999999995,396.721,0
2017,4,Formosa,1.11,528.704,37.964999999999996,981,194.87,5.866,776,0
2017,4,Jujuy,345,39.553,18.492,44,5.364,43.685,0,0
2017,4,La Pampa,310,67.05199999999999,792,401,8.729,99.129,68,3.503
2017,4,La Rioja,9,42.775,5.813,24,2.487,4.083,1,0
2017,4,Mendoza,26,432.391,278,48,15.642,438,56,0
2017,4,Misiones,1.053,76.688,843.44,533.585,3.9,23.131,119.348,0
2017,4,Neuquén,1.396,821.282,163.64,249.327,2.372,1325,5.579,6.105
2017,4,Río Negro,409,1709.4479999999999,112.402,131.354,203.4,485,4.1579999999999995,3.719
2017,4,Salta,636,252.10500000000002,207.779,362.229,136.143,32.842,45,0
2017,4,San Juan,22,85.497,0,4,32.031,9,0,0
2017,4,San Luis,59,18.816,0,8,101,8,0,1.902
2017,4,Santa Cruz,68,171.93000000000004,100,1,78,655,3,0
2017,4,Santa Fe,3.109,309.998,152.328,54.951,34.132,153.894,481.755,14.119
2017,4,Santiago Del Estero,41,59.528,30.332,34,911.182,18.773,0,0
2017,4,Tierra Del Fuego,6,36.329,0,0,310,2,0,0
2017,4,Tucumán,105,246.582,100.242,1.303,9.163,45.241,0,0
2018,1,Buenos Aires,1.514,,1007.557,484.22299999999996,74.76599999999999,371.653,160.463,105.818
2018,1,Capital Federal,89,1428.429,929.384,228.969,26.023,340.619,144.577,0
2018,1,Catamarca,34,57.727000000000004,5.537,41,3.895,6.145,0,6.5
2018,1,Chaco,70,102.446,686.632,647.612,3.261,24.488,631.788,1.035
2018,1,Chubut,67,670.5730000000001,4,5,4.314,5.3580000000000005,9,5.01
2018,1,Córdoba,281,222.815,1246.278,57.148,23.922,238.166,24.354,10.049
2018,1,Corrientes,11,812.3760000000001,672.414,190.705,5.005,24.037999999999997,621.283,0
2018,1,Entre Ríos,18,1071.098,945.492,256.571,9.86,46.598,397.253,0
2018,1,Formosa,1.11,1579.521,39.032000000000004,1091,194.612,5.117,994,0
2018,1,Jujuy,345,27.219,18.91,49,4.807,44.007999999999996,0,0
2018,1,La Pampa,245,307.863,1076,624,8.119,99.518,85,3.503
2018,1,La Rioja,9,42.678000000000004,5.8309999999999995,19,2.484,4.217,1,0
2018,1,Mendoza,20,512.251,266,29,14.649000000000001,501,56,33.788
2018,1,Misiones,48,143.712,733.515,483.767,4.7,23.291,119.726,0
2018,1,Neuquén,1.396,807.7189999999999,174.86599999999999,223.504,2.367,1311,6.375,6.105
2018,1,Río Negro,409,596.3720000000001,1042.971,126.877,202.136,530,4.6739999999999995,3.975
2018,1,Salta,116,66.328,218.583,346.817,135.328,33.088,58,0
2018,1,San Juan,22,85.05,0,3,33.026,11,0,5.068
2018,1,San Luis,57,246.685,0,9,101,11,0,9.284
2018,1,Santa Cruz,26,171.45700000000002,100,1,120,655,3,4.267
2018,1,Santa Fe,1.359,262.00800000000004,189.899,63.650999999999996,33.638999999999996,153.531,483.439,23.181
2018,1,Santiago Del Estero,41,885.453,29.423000000000002,35,910.002,18.914,0,17.589
2018,1,Tierra Del Fuego,6,44.976,0,0,307,2,0,107
2018,1,Tucumán,16,375.514,101.33,1.218,8.471,45.675,0,1.305
2018,2,Buenos Aires,1.009,,825.0469999999999,539.865,81.354,384.36800000000005,458.201,111.742
2018,2,Capital Federal,73,524.074,454.336,265.82,24.219,336.049,147.17000000000002,0
2018,2,Catamarca,34,304.334,4.3469999999999995,36,3.413,6.112,6,6.516
2018,2,Chaco,70,254.946,567.341,596.696,2.968,24.282,632.153,1.266
2018,2,Chubut,67,805.877,4,5,4.471,5.369,9,5.041
2018,2,Córdoba,81,219.63,246.289,82.85900000000001,21.779,102.596,27.024,10.894
2018,2,Corrientes,11,280.02299999999997,577.366,186.6,7.047,24.066,621.508,0
2018,2,Entre Ríos,18,94.459,804.51,246.777,9.178,45.569,397.737,546
2018,2,Formosa,1.11,1054.376,29.707,1313,194.377,7.174,1.211,8
2018,2,Jujuy,345,248.10000000000002,3.9770000000000003,44,737.585,44.047,6,38
2018,2,La Pampa,244,462.68800000000005,965,969,8.797,99.312,131,775
2018,2,La Rioja,9,148.57100000000003,553.092,20,2.383,4.198,2,3
2018,2,Mendoza,20,513.247,266,27,14.645,515,56,33.808
2018,2,Misiones,48,199.77399999999997,609.1610000000001,464.435,6.092,23.569000000000003,119.971,0
2018,2,Neuquén,1.396,962.1279999999999,211.232,233.23,2.408,1314,6.648,7.285
2018,2,Río Negro,409,75.05600000000001,928.567,133.563,202.101,523,4.911,4.081
2018,2,Salta,116,858.126,28.431,374.885,134.859,33.285,83,0
2018,2,San Juan,22,923.724,0,3,121.258,11,0,5.096
2018,2,San Luis,57,318.685,0,9,101,11,0,9.298
2018,2,Santa Cruz,26,171.45700000000002,100,1,120,655,3,4.9
2018,2,Santa Fe,744,262.603,176.539,74.587,34.266999999999996,157.098,484.676,22.218
2018,2,Santiago Del Estero,41,1299.1029999999998,3.278,33,909.809,18.721,1,17.594
2018,2,Tierra Del Fuego,6,85.867,75,0,188,198.021,0,1.309
2018,2,Tucumán,16,916.062,27.058999999999997,1.084,7.734,44.968,152,1.412
2018,3,Buenos Aires,991,,645.081,901.913,80.459,279.716,529.039,120.987
2018,3,Capital Federal,73,521.685,377.668,416.03499999999997,23.478,264.13599999999997,155,0
2018,3,Catamarca,34,324.169,114.211,34,2.9930000000000003,212.152,7,2.004
2018,3,Chaco,70,260.197,469.885,685.41,3.503,24.916,961.438,1.035
2018,3,Chubut,67,704.482,531,623,8.946,174.993,164,1.142
2018,3,Córdoba,81,224.471,223.982,120.333,24.767,96.372,30.921,8.996
2018,3,Corrientes,11,280.11899999999997,489.12800000000004,184.181,6.754,24.953,644.687,0
2018,3,Entre Ríos,18,96.095,680.703,236.889,10.047,46.65,408.223,546
2018,3,Formosa,1.11,1063.582,27.317999999999998,618.112,194.174,7.257,1.389,8
2018,3,Jujuy,345,240.83599999999998,4.066000000000001,39,743.279,7.756,10,38
2018,3,La Pampa,242,463.11199999999997,920,2.1879999999999997,8.417,100.056,168,780
2018,3,La Rioja,9,147.54,567.862,20,2.29,4.138,2,3
2018,3,Mendoza,20,528.794,504.227,37,14.512,1140.337,115,0
2018,3,Misiones,48,199.902,506.726,459.229,5.749,24.747,121.25,0
2018,3,Neuquén,1.396,937.939,218.59,257.984,492.753,86.562,6.924,6.888
2018,3,Río Negro,409,75.929,790.136,141.364,148.078,512,5.194,3.707
2018,3,Salta,116,851.1650000000001,25.582,379.867,134.59,32.782,227,0
2018,3,San Juan,22,65.522,312,3,3.324,180,1,112
2018,3,San Luis,57,576.612,119,65,109,148.844,0,1.961
2018,3,Santa Cruz,26,175.672,206,1,116,778,3,54
2018,3,Santa Fe,467,269.211,163.54399999999998,86.54100000000001,36.786,304.71799999999996,957.209,16.439
2018,3,Santiago Del Estero,41,1319.9989999999998,657.152,66,909.642,498.636,13,258
2018,3,Tierra Del Fuego,6,86.524,231,24,187,198.074,13,1.264
2018,3,Tucumán,16,903.736,98.99,941,6.992,68.257,246,126
2018,4,Buenos Aires,134.673,,586.67,954.466,73.761,741.878,639.927,19.125
2018,4,Capital Federal,74,375.189,339.48699999999997,438.66700000000003,22.373,253.199,166.553,0
2018,4,Catamarca,34,319.65299999999996,114.352,29,1.669,212.219,7,2.003
2018,4,Chaco,69,521.951,404.57899999999995,610.794,3.405,26.632,948.697,0
2018,4,Chubut,66,763.3629999999999,531,623,7.913,205.016,164,1.144
2018,4,Córdoba,81,228.475,203.63699999999997,130.06,24.101999999999997,97.277,36.355000000000004,8.903
2018,4,Corrientes,10,711.701,401.11199999999997,136.561,6.438,26.562,676.894,0
2018,4,Entre Ríos,18,94.78,570.46,195.968,8.769,172.904,404.544,13.693
2018,4,Formosa,1.11,334.65,25.011000000000003,595.498,193.883,7.283,1.446,0
2018,4,Jujuy,27,340.417,5.02,30,108.697,8.809999999999999,14,43.573
2018,4,La Pampa,241,571.007,978,1.328,7.727,264.4,197,923
2018,4,La Rioja,9,146.179,527.693,17,1.164,4.088,5,3
2018,4,Mendoza,20,450.197,505.225,29,12.452,1158.337,115,0
2018,4,Misiones,47,206.10399999999998,416.828,394.188,5.981,26.019000000000002,128.51,0
2018,4,Neuquén,1.328,1334.03,262.211,197.963,359.687,99.683,7.384,6.287
2018,4,Río Negro,384,83.41199999999999,704.748,100.505,97.129,643,5.532,3.094
2018,4,Salta,49,259.291,22.909999999999997,378.493,4.6579999999999995,36.365,2.285,0
2018,4,San Juan,22,62.80800000000001,312,1,2.464,180,1,606
2018,4,San Luis,57,561.6209999999999,119,64,109,149.087,0,23.635
2018,4,Santa Cruz,25,165.96399999999997,206,1,115,779,3,531
2018,4,Santa Fe,335,276.30100000000004,153.03799999999998,98.416,31.397000000000002,950.179,1119.261,28.45
2018,4,Santiago Del Estero,39,67.34100000000001,657.032,77,910.342,20.127,29,326
2018,4,Tierra Del Fuego,6,299.649,157.746,24,27,61.268,67,0
2018,4,Tucumán,16,1001.169,101.036,847,5.244,74.73400000000001,377,92
2019,1,Buenos Aires,162.513,,585.419,1498.3149999999998,72.29599999999999,857.855,1093.95,6.369
2019,1,Capital Federal,74,367.703,345.107,366.718,22.402,244.893,260.85699999999997,0
2019,1,Catamarca,34,366.413,302.309,29,1.708,227.222,7,2.151
2019,1,Chaco,69,524.233,404.57899999999995,610.794,3.801,26.631,948.697,1.035
2019,1,Chubut,66,485.662,787,74,7.934,317.26,164,0
2019,1,Córdoba,81,242.769,203.678,129.971,1013.409,96.997,38.271,6.806
2019,1,Corrientes,10,912.527,401.11199999999997,136.561,6.47,26.562,676.894,0
2019,1,Entre Ríos,18,107.013,570.415,195.968,9.217,234.883,407.546,12.142
2019,1,Formosa,1.11,1318.7880000000002,25.011000000000003,602.498,193.832,7.299,1.446,0
2019,1,Jujuy,27,340.417,5.02,30,108.711,8.809999999999999,14,37.162
2019,1,La Pampa,236,601.007,1061,1354,321.014,6.464,332,698
2019,1,La Rioja,9,146.179,527.693,17,1.169,4.088,5,0
2019,1,Mendoza,20,466.12199999999996,722.984,121,12.775,1203.635,114,0
2019,1,Misiones,47,208.10299999999998,416.713,380.188,5.946,25.89,128.51,7.654
2019,1,Neuquén,1.328,1362.049,262.211,197.963,359.698,99.683,7.384,6.105
2019,1,Río Negro,384,84.845,852.775,100.503,97.487,91.947,11.532,3.719
2019,1,Salta,49,260.043,22.909999999999997,378.493,5.231,36.473,2.285,1
2019,1,San Juan,22,68.374,520,3,229,266,1,560
2019,1,San Luis,57,668.7320000000001,345,8,120,181.086,0,23.577
2019,1,Santa Cruz,25,24.987000000000002,702,26,128,143.59,3,0
2019,1,Santa Fe,333,296.798,293.072,98.559,29.35,970.111,1117.346,18.591
2019,1,Santiago Del Estero,39,68.889,880.082,85,910.464,20.691000000000003,36,0
2019,1,Tierra Del Fuego,6,1154.734,641,80,131,8.618,29,0
2019,1,Tucumán,16,975.346,196.04,847,5.188,91.828,377,0
2019,2,Buenos Aires,199.768,,551.55,1422.388,63.051,299.703,1374.879,43.438
2019,2,Capital Federal,74,345.322,254.676,297.16,21.990000000000002,196.015,427.172,0
2019,2,Catamarca,34,476.92799999999994,398.656,34,1.284,120.558,10,2.151
2019,2,Chaco,69,521.01,269.536,597.765,3.376,28.429000000000002,951.049,1.492
2019,2,Chubut,66,490.545,1495,74,8.013,337.721,164,4.5
2019,2,Córdoba,81,234.49,183.432,172.16500000000002,943.18,114.49799999999999,103.753,8.938
2019,2,Corrientes,10,1223.8249999999998,263.863,209.73,6.423,27.774,677.897,6.08
2019,2,Entre Ríos,18,96.648,347.871,276.968,9.944,259.109,409.247,17.206
2019,2,Formosa,1.11,367.945,901.4899999999999,405.236,193.381,7.397,1.672,100
2019,2,Jujuy,27,480.178,26.7,27,2.539,9.44,303,21.765
2019,2,La Pampa,236,70.371,309.058,1445,321.011,7.189,550,2.661
2019,2,La Rioja,9,134.808,454.407,13,926,4.297,22,0
2019,2,Mendoza,20,466.419,755.346,1266,13.995000000000001,1220.752,155,0
2019,2,Misiones,47,302.46799999999996,269.154,416.484,4.268,27.385,130.282,12.206
2019,2,Neuquén,302,1049.387,1471.862,265.974,360.081,4.688000000000001,8.827,422
2019,2,Río Negro,384,650.502,697.6030000000001,156.29,97.557,154.049,12.65,18.519
2019,2,Salta,49,58.302,16.961,428.644,4.308,36.923,4.947,7.585
2019,2,San Juan,22,66.899,785,7,221,292.88599999999997,1,6.119
2019,2,San Luis,57,1244.334,467,63.232,114,135.833,0,37.977
2019,2,Santa Cruz,25,638.2030000000001,1202,28,128,811.997,3,0
2019,2,Santa Fe,321,285.02299999999997,269.601,100.139,23.528000000000002,125.17599999999999,1123.898,22.323
2019,2,Santiago Del Estero,39,754.495,3.7409999999999997,108,910.004,21.362000000000002,214,34.501
2019,2,Tierra Del Fuego,6,1091.773,158.416,96,123,18.227,30,0
2019,2,Tucumán,16,1075.555,245.07,628,4.491,92.24799999999999,1.496,0
2019,3,Buenos Aires,256.902,,371.39599999999996,1409.679,61.101,951.083,,30.844
2019,3,Capital Federal,105,805.398,148.001,259.596,21.116,165.87900000000002,665.292,0
