Provincia,Partido,Localidad,Link Indec,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Mas de 30 Mbps,Otros
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,2,19,424,476,4975,262,50,0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,0,0,46,13,0,0,0,0
BUENOS AIRES,25 de Mayo,Del Valle,6854020,1,0,181,10,0,0,0,0
BUENOS AIRES,25 de Mayo,Ernestina,6854030,0,0,66,0,0,0,0,0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0,0,175,5,0,0,1,0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0,0,6,0,0,0,0,0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0,0,1105,1,141,34,1,0
BUENOS AIRES,25 de Mayo,Pedernales,6854070,0,0,570,2,3,0,0,0
BUENOS AIRES,25 de Mayo,San Enrique,6854080,0,0,78,19,0,0,0,0
BUENOS AIRES,25 de Mayo,Valdés,6854090,0,0,35,131,0,0,0,0
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0,0,11,0,0,0,0,0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,0,9,466,370,136,4,617,10206
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,0,0,510,0,0,0,0,0
BUENOS AIRES,9 de Julio,Dudignac,6588040,0,8,318,52,0,0,0,0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,0,1,200,2,0,0,0,0
BUENOS AIRES,9 de Julio,Patricios,6588110,0,0,0,0,0,0,0,81
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,0,0,42,0,0,0,0,118
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,0,0,813,139,1231,1,31,0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0,0,208,0,0,0,0,0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0,0,60,0,0,0,0,0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,2,0,386,6,2,0,0,10
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0,0,0,1155,23,24,0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,0,3,147,569,1046,44,1,0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0,0,632,80,5,0,0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0,0,46,0,0,0,0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,0,0,14,0,0,0,0,0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,0,2,51,116,302,0,0,0
BUENOS AIRES,Alberti,Mechita,6021030,0,0,285,0,0,0,0,0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,12,58,97,422,141,11582,1792,0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,11,40,338,1084,63,11443,5390,51
BUENOS AIRES,Almirante Brown,Claypole,6028010,0,9,46,429,15,4135,2847,0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,0,0,1,377,0,30,2494,0
BUENOS AIRES,Almirante Brown,Glew,6028010,5,12,91,331,8,11780,3776,1
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,0,1,19,425,18,1409,2054,0
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1,3,30,603,5,7459,3335,1
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,0,3,34,136,3,18,2036,1
